a,b,c,repeats,first_day,last_day,sum_ab,sum_bc
100000004723755100,100000008748914100,100000004398811100,3,2026-07-25,2026-07-27,80000.0,426000.0
100000003880331100,100000008603629100,100000001857829100,3,2026-07-21,2026-07-30,398000.0,408000.0
100000008304139100,100000008603629100,100000001857829100,3,2026-07-23,2026-07-30,134000.0,408000.0
100000008304139100,100000003684369100,100000002188829100,3,2026-07-23,2026-07-26,291000.0,400000.0
100000008748914100,100000003684369100,100000002188829100,3,2026-07-23,2026-07-26,986700.0,400000.0
100000008304139100,100000003684369100,100000003131693100,3,2026-07-21,2026-07-24,289000.0,353277.0
100000005910114100,100000006866783100,100000004299488100,3,2026-07-06,2026-07-12,114333.0,337000.0
100000004847758100,100000003684369100,100000006889963100,3,2026-07-17,2026-07-21,56000.0,311000.0
100000008304139100,100000003684369100,100000006889963100,3,2026-07-19,2026-07-21,163000.0,311000.0
100000008304139100,100000003684369100,100000002988894100,3,2026-07-20,2026-07-23,238000.0,306121.0
100000008748914100,100000003684369100,100000004226848100,3,2026-07-25,2026-07-28,666700.0,301866.0
100000007018630100,100000002371751100,100000000769919100,3,2026-07-10,2026-07-13,200000.0,250000.0
100000008304139100,100000003684369100,100000005432267100,3,2026-07-19,2026-07-22,163000.0,250000.0
100000008304139100,100000003684369100,100000007908818100,3,2026-07-19,2026-07-21,163000.0,235100.0
100000007639767100,100000008603629100,100000008279405100,3,2026-07-18,2026-07-30,98250.0,234738.0
100000008304139100,100000003684369100,100000002480800100,3,2026-07-19,2026-07-21,163000.0,230000.0
100000006866783100,100000007055802100,100000004299488100,3,2026-07-13,2026-07-19,200000.0,228000.0
100000003718221100,100000003701161100,100000002267998100,3,2026-07-09,2026-07-23,120000.0,220000.0
100000004351795100,100000008512552100,100000003178549100,3,2026-07-14,2026-07-16,198600.0,210000.0
100000000274067100,100000002958343100,100000002872399100,3,2026-07-01,2026-07-16,2400000.0,200000.0
100000005910114100,100000006866783100,100000007055802100,3,2026-07-11,2026-07-18,126442.0,200000.0
100000008304139100,100000003684369100,100000003299365100,3,2026-07-23,2026-07-26,291000.0,200000.0
100000008304139100,100000006866783100,100000007055802100,3,2026-07-12,2026-07-18,94000.0,200000.0
100000008748914100,100000003684369100,100000003299365100,3,2026-07-23,2026-07-26,986700.0,200000.0
100000008304139100,100000003684369100,100000005074393100,3,2026-07-21,2026-07-24,289000.0,193893.0
100000008304139100,100000003684369100,100000002957306100,3,2026-07-21,2026-07-24,289000.0,188990.0
100000008304139100,100000003684369100,100000002621949100,3,2026-07-21,2026-07-24,289000.0,164612.0
100000008304139100,100000003684369100,100000007181706100,3,2026-07-19,2026-07-22,163000.0,163772.0
100000008304139100,100000003684369100,100000000041368100,3,2026-07-19,2026-07-22,163000.0,160000.0
100000008304139100,100000003684369100,100000004480280100,3,2026-07-19,2026-07-22,163000.0,146694.0
100000005910114100,100000008603629100,100000008739887100,3,2026-07-18,2026-07-22,126567.0,141000.0
100000008304139100,100000003684369100,100000003205210100,3,2026-07-21,2026-07-24,289000.0,137563.0
100000008304139100,100000003684369100,100000002864256100,3,2026-07-19,2026-07-22,163000.0,135780.0
100000006866783100,100000004299488100,100000007055802100,3,2026-07-09,2026-07-13,337000.0,126000.0
100000008748914100,100000003684369100,100000003022835100,3,2026-07-24,2026-07-27,1056700.0,125000.0
100000004358004100,100000003684369100,100000003946524100,3,2026-07-22,2026-07-25,198000.0,113757.0
100000008304139100,100000003684369100,100000003946524100,3,2026-07-23,2026-07-25,291000.0,113757.0
100000008748914100,100000003684369100,100000003946524100,3,2026-07-23,2026-07-25,986700.0,113757.0
100000007593823100,100000008730846100,100000005475379100,3,2026-07-19,2026-07-22,38000.0,108370.0
100000004847758100,100000003684369100,100000008566737100,3,2026-07-17,2026-07-20,56000.0,104000.0
100000008304139100,100000003684369100,100000000810551100,3,2026-07-19,2026-07-22,163000.0,100000.0
100000008304139100,100000003684369100,100000000998559100,3,2026-07-23,2026-07-26,291000.0,100000.0
100000008748914100,100000003684369100,100000000998559100,3,2026-07-23,2026-07-26,986700.0,100000.0
100000005910114100,100000006866783100,100000000555721100,3,2026-07-04,2026-07-16,127379.0,95000.0
100000008304139100,100000006866783100,100000000555721100,3,2026-07-04,2026-07-16,89000.0,95000.0
100000008489922100,100000008517538100,100000001884825100,3,2026-07-14,2026-07-17,70500.0,95000.0
100000008304139100,100000003684369100,100000008747113100,3,2026-07-23,2026-07-26,291000.0,92591.0
100000008748914100,100000003684369100,100000008747113100,3,2026-07-23,2026-07-26,986700.0,92591.0
100000008304139100,100000006866783100,100000000945428100,3,2026-07-12,2026-07-15,94000.0,89629.0
100000004351795100,100000000437046100,100000006165886100,3,2026-07-27,2026-07-30,257000.0,80414.0
100000004847758100,100000003684369100,100000008671929100,3,2026-07-17,2026-07-21,56000.0,75000.0
100000008304139100,100000003684369100,100000008671929100,3,2026-07-19,2026-07-21,163000.0,75000.0
100000008659445100,100000008751429100,100000008736940100,3,2026-07-23,2026-07-28,271700.0,72600.0
100000004847758100,100000003684369100,100000002666248100,3,2026-07-17,2026-07-20,56000.0,70032.0
100000004358004100,100000003684369100,100000005079754100,3,2026-07-22,2026-07-25,198000.0,70000.0
100000008304139100,100000003684369100,100000005079754100,3,2026-07-23,2026-07-25,291000.0,70000.0
100000008748914100,100000003684369100,100000005079754100,3,2026-07-23,2026-07-25,986700.0,70000.0
100000005910114100,100000006866783100,100000004071080100,3,2026-07-04,2026-07-09,115270.0,67000.0
100000008489922100,100000008517538100,100000003157679100,3,2026-07-14,2026-07-17,70500.0,66000.0
100000005287097100,100000003016635100,100000001805543100,3,2026-07-04,2026-07-06,187000.0,59000.0
100000008304139100,100000006866783100,100000001530983100,3,2026-07-12,2026-07-15,94000.0,58724.0
100000008304139100,100000003684369100,100000003739818100,3,2026-07-19,2026-07-21,163000.0,57293.0
100000005910114100,100000006866783100,100000000011452100,3,2026-07-04,2026-07-09,115270.0,55000.0
100000008304139100,100000003684369100,100000001554432100,3,2026-07-21,2026-07-24,289000.0,53920.0
100000008304139100,100000003684369100,100000003037660100,3,2026-07-20,2026-07-23,238000.0,53000.0
100000005287097100,100000003016635100,100000002991079100,3,2026-07-20,2026-07-23,74500.0,51700.0
100000004358004100,100000003684369100,100000006446271100,3,2026-07-22,2026-07-25,198000.0,50000.0
100000008304139100,100000003684369100,100000001194266100,3,2026-07-21,2026-07-24,289000.0,50000.0
100000008304139100,100000003684369100,100000006446271100,3,2026-07-23,2026-07-25,291000.0,50000.0
100000008304139100,100000003684369100,100000008628231100,3,2026-07-20,2026-07-23,238000.0,50000.0
100000008304139100,100000006866783100,100000004759121100,3,2026-07-12,2026-07-15,94000.0,50000.0
100000008304139100,100000006866783100,100000006687202100,3,2026-07-12,2026-07-15,94000.0,50000.0
100000008748914100,100000003684369100,100000006446271100,3,2026-07-23,2026-07-25,986700.0,50000.0
100000004847758100,100000003684369100,100000005124479100,3,2026-07-17,2026-07-20,56000.0,48806.0
100000005287097100,100000003016635100,100000005539201100,3,2026-07-06,2026-07-09,177500.0,45504.0
100000005910114100,100000006866783100,100000008560717100,3,2026-07-04,2026-07-16,127379.0,45000.0
100000008304139100,100000006866783100,100000008560717100,3,2026-07-04,2026-07-16,89000.0,45000.0
100000005287097100,100000003016635100,100000006579678100,3,2026-07-06,2026-07-09,177500.0,42930.0
100000004847758100,100000003684369100,100000004509286100,3,2026-07-17,2026-07-20,56000.0,40000.0
100000008304139100,100000003684369100,100000003877908100,3,2026-07-23,2026-07-26,291000.0,40000.0
100000008748914100,100000003684369100,100000003877908100,3,2026-07-23,2026-07-26,986700.0,40000.0
100000008304139100,100000003684369100,100000007274584100,3,2026-07-23,2026-07-26,291000.0,38000.0
100000008304139100,100000003684369100,100000007311010100,3,2026-07-19,2026-07-22,163000.0,38000.0
100000008748914100,100000003684369100,100000007274584100,3,2026-07-23,2026-07-26,986700.0,38000.0
100000008304139100,100000003684369100,100000001924185100,3,2026-07-19,2026-07-21,163000.0,36000.0
100000008213966100,100000000838385100,100000000470237100,3,2026-07-28,2026-07-30,194600.0,32500.0
100000005287097100,100000003016635100,100000008116374100,3,2026-07-06,2026-07-09,177500.0,31284.0
100000005287097100,100000003016635100,100000001684867100,3,2026-07-11,2026-07-14,20000.0,30550.0
100000005287097100,100000003016635100,100000002861485100,3,2026-07-19,2026-07-22,28900.0,29323.0
100000005287097100,100000003016635100,100000007641183100,3,2026-07-04,2026-07-06,187000.0,28000.0
100000008304139100,100000006866783100,100000000961900100,3,2026-07-08,2026-07-14,70000.0,27000.0
100000000437046100,100000008686313100,100000008477350100,3,2026-07-21,2026-07-24,574636.0,25800.0
100000005287097100,100000003016635100,100000004741837100,3,2026-07-06,2026-07-09,177500.0,25596.0
100000005910114100,100000008603629100,100000005140601100,3,2026-07-18,2026-07-21,126567.0,25000.0
100000008304139100,100000003684369100,100000004315838100,3,2026-07-20,2026-07-23,238000.0,25000.0
100000008304139100,100000003684369100,100000007129492100,3,2026-07-19,2026-07-21,163000.0,25000.0
100000008304139100,100000003684369100,100000008664469100,3,2026-07-20,2026-07-23,238000.0,25000.0
100000008258083100,100000000673868100,100000003173783100,3,2026-07-07,2026-07-14,921300.0,23500.0
100000005910114100,100000008603629100,100000004975919100,3,2026-07-18,2026-07-21,126567.0,22351.0
100000003988112100,100000004403675100,100000005668605100,3,2026-07-18,2026-07-20,42000.0,21000.0
100000005287097100,100000003016635100,100000003713616100,3,2026-07-06,2026-07-09,177500.0,15893.0
100000004847758100,100000003684369100,100000005093521100,3,2026-07-17,2026-07-20,56000.0,15200.0
100000004351795100,100000000437046100,100000008293431100,3,2026-07-27,2026-07-30,257000.0,15000.0
100000008258083100,100000000673868100,100000001785161100,3,2026-07-07,2026-07-10,1110500.0,15000.0
100000008489922100,100000008517538100,100000008710913100,3,2026-07-14,2026-07-16,70500.0,14000.0
100000005287097100,100000003016635100,100000008724279100,3,2026-07-18,2026-07-20,21700.0,11750.0
100000008314203100,100000008637537100,100000005940652100,3,2026-07-13,2026-07-16,59000.0,8395.0
100000005287097100,100000003016635100,100000003886323100,3,2026-07-19,2026-07-22,28900.0,7793.0
100000004723755100,100000008748914100,100000004592467100,3,2026-07-25,2026-07-27,80000.0,7000.0
100000005287097100,100000003016635100,100000008173359100,3,2026-07-20,2026-07-23,74500.0,6110.0
100000005287097100,100000003016635100,100000001049200100,3,2026-07-04,2026-07-06,187000.0,6014.0
100000005287097100,100000003016635100,100000000507799100,3,2026-07-19,2026-07-22,28900.0,5132.0
100000000437046100,100000008686313100,100000008546855100,3,2026-07-24,2026-07-27,497875.0,5000.0
100000001530983100,100000007777377100,100000001427082100,3,2026-07-12,2026-07-15,86290.0,5000.0
