a,b,c,repeats,first_day,last_day,sum_ab,sum_bc
100000005287097100,100000003016635100,100000006518161100,11,2026-07-04,2026-07-22,269400.0,521200.0
100000005287097100,100000003016635100,100000004330371100,11,2026-07-05,2026-07-21,253700.0,68471.0
100000005287097100,100000003016635100,100000004186824100,9,2026-07-06,2026-07-20,219200.0,437350.0
100000003016635100,100000006518161100,100000005660203100,8,2026-07-06,2026-07-22,521200.0,212899.0
100000005287097100,100000003016635100,100000000667713100,8,2026-07-04,2026-07-20,242900.0,91745.0
100000005287097100,100000003016635100,100000004394765100,7,2026-07-08,2026-07-23,150800.0,451888.0
100000008637537100,100000001732159100,100000008314203100,7,2026-07-04,2026-07-20,1400100.0,262076.0
100000005287097100,100000003016635100,100000004790991100,7,2026-07-04,2026-07-15,283500.0,239413.0
100000005287097100,100000003016635100,100000004664905100,7,2026-07-11,2026-07-21,54200.0,234620.0
100000005287097100,100000003016635100,100000000440392100,7,2026-07-04,2026-07-19,287700.0,105705.0
100000005287097100,100000003016635100,100000004188160100,7,2026-07-06,2026-07-22,211700.0,56016.0
100000008314203100,100000008637537100,100000001732159100,6,2026-07-01,2026-07-17,202000.0,2182000.0
100000005287097100,100000003016635100,100000001567366100,6,2026-07-07,2026-07-21,118700.0,824070.0
100000005287097100,100000003016635100,100000000706545100,6,2026-07-07,2026-07-18,109800.0,721300.0
100000005287097100,100000003016635100,100000004559194100,6,2026-07-06,2026-07-14,197500.0,282145.0
100000000437046100,100000007055802100,100000004299488100,6,2026-07-12,2026-07-19,975000.0,238000.0
100000005287097100,100000003016635100,100000004588479100,6,2026-07-04,2026-07-13,229200.0,177633.0
100000005287097100,100000003016635100,100000007281639100,6,2026-07-04,2026-07-23,261500.0,147000.0
100000005287097100,100000003016635100,100000004408683100,6,2026-07-06,2026-07-14,197500.0,81148.0
100000005287097100,100000003016635100,100000008188026100,6,2026-07-05,2026-07-13,213500.0,40034.0
100000005287097100,100000003016635100,100000002580377100,6,2026-07-11,2026-07-20,41700.0,37750.0
100000005287097100,100000003016635100,100000004948177100,5,2026-07-04,2026-07-10,271500.0,341163.0
100000005287097100,100000003016635100,100000003042994100,5,2026-07-07,2026-07-23,159000.0,239200.0
100000005910114100,100000006866783100,100000008686313100,5,2026-07-06,2026-07-15,190095.0,225181.0
100000007055802100,100000004299488100,100000004674799100,5,2026-07-12,2026-07-17,180000.0,120000.0
100000003835149100,100000002224132100,100000000594783100,4,2026-07-08,2026-07-27,1585250.0,1620000.0
100000004351795100,100000000437046100,100000008686313100,4,2026-07-18,2026-07-26,285000.0,1104983.0
100000005287097100,100000003016635100,100000002173161100,4,2026-07-18,2026-07-21,34200.0,869500.0
100000004723755100,100000008748914100,100000003684369100,4,2026-07-25,2026-07-28,95000.0,666700.0
100000004351795100,100000000437046100,100000003834495100,4,2026-07-18,2026-07-31,294500.0,327441.0
100000004351795100,100000008512552100,100000003242289100,4,2026-07-14,2026-07-19,246100.0,307168.0
100000008304139100,100000006866783100,100000008686313100,4,2026-07-08,2026-07-15,114000.0,225181.0
100000006866783100,100000008686313100,100000002826669100,4,2026-07-09,2026-07-16,225181.0,159900.0
100000005287097100,100000003016635100,100000004707703100,4,2026-07-04,2026-07-07,215200.0,112300.0
100000004160650100,100000002731501100,100000003031890100,4,2026-07-12,2026-07-29,200370.0,90000.0
100000001732159100,100000008314203100,100000008637537100,4,2026-07-07,2026-07-16,194076.0,79000.0
100000008193577100,100000008736940100,100000008659445100,4,2026-07-22,2026-07-26,125990.0,77300.0
100000004269433100,100000008418835100,100000008730021100,4,2026-07-17,2026-07-23,265000.0,75555.0
100000004160650100,100000004007116100,100000004144536100,4,2026-07-14,2026-07-23,188400.0,63000.0
100000000437046100,100000008686313100,100000008603629100,4,2026-07-22,2026-07-28,904718.0,55500.0
100000004269433100,100000008418835100,100000008701944100,4,2026-07-09,2026-07-12,499000.0,52124.0
100000005287097100,100000003016635100,100000002600345100,4,2026-07-05,2026-07-08,199500.0,47400.0
100000004269433100,100000008418835100,100000000343175100,4,2026-07-13,2026-07-16,286000.0,31500.0
100000005287097100,100000003016635100,100000002704875100,4,2026-07-18,2026-07-21,34200.0,30550.0
100000005287097100,100000003016635100,100000006069103100,4,2026-07-04,2026-07-07,215200.0,29118.0
100000005910114100,100000006866783100,100000000961900100,4,2026-07-06,2026-07-14,142029.0,27000.0
100000005287097100,100000003016635100,100000005634552100,4,2026-07-18,2026-07-21,34200.0,25850.0
100000005287097100,100000003016635100,100000003163256100,4,2026-07-04,2026-07-07,215200.0,13485.0
100000005287097100,100000003016635100,100000005505655100,4,2026-07-05,2026-07-08,199500.0,13070.0
100000005287097100,100000003016635100,100000008003034100,4,2026-07-05,2026-07-08,199500.0,12201.0
100000005287097100,100000003016635100,100000003134937100,4,2026-07-18,2026-07-21,34200.0,10286.0
100000005287097100,100000003016635100,100000002938501100,4,2026-07-05,2026-07-08,199500.0,8395.0
100000005339662100,100000004820260100,100000005996909100,4,2026-07-26,2026-07-29,97800.0,5500.0
100000003835149100,100000001965374100,100000004399686100,3,2026-07-06,2026-07-09,356740.0,806000.0
100000004358004100,100000003684369100,100000001072022100,3,2026-07-22,2026-07-25,198000.0,740000.0
100000008304139100,100000003684369100,100000001072022100,3,2026-07-23,2026-07-25,291000.0,740000.0
100000008748914100,100000003684369100,100000001072022100,3,2026-07-23,2026-07-25,986700.0,740000.0
100000008304139100,100000003684369100,100000001527186100,3,2026-07-21,2026-07-24,289000.0,678000.0
100000008748914100,100000003684369100,100000002565277100,3,2026-07-24,2026-07-27,1056700.0,483319.0
100000004723755100,100000008748914100,100000000913911100,3,2026-07-25,2026-07-27,80000.0,426000.0
