gid,request,score,cluster_id,reason
100000008603629100,входящие переводы из-за пределов выборки,0.966,1,"отдал 5,0 млн ₸, а видимый вход только 1,8 млн ₸: не хватает 3,2 млн ₸ — источник средств неизвестен (координатор)"
100000003037476100,исходящие переводы (узел за границей выгрузки),0.931,3,"получил 555 тыс ₸ от 3 плательщ., макс. приоритет плательщика 0.92, seed выше по цепочке: 8; куда ушли деньги — неизвестно"
100000000331309100,входящие переводы из-за пределов выборки,0.965,6,"отдал 23,0 млн ₸, а видимый вход только 985 тыс ₸: не хватает 22,0 млн ₸ — источник средств неизвестен (координатор)"
100000008740295100,исходящие переводы (узел за границей выгрузки),0.901,3,"получил 300 тыс ₸ от 1 плательщ., макс. приоритет плательщика 0.92, seed выше по цепочке: 8; куда ушли деньги — неизвестно"
100000000437046100,входящие переводы из-за пределов выборки,0.959,1,"отдал 7,6 млн ₸, а видимый вход только 1,1 млн ₸: не хватает 6,5 млн ₸ — источник средств неизвестен (координатор)"
100000005783452100,исходящие переводы (узел за границей выгрузки),0.898,3,"получил 286 тыс ₸ от 2 плательщ., макс. приоритет плательщика 0.92, seed выше по цепочке: 8; куда ушли деньги — неизвестно"
100000008547948100,входящие переводы из-за пределов выборки,0.953,3,"отдал 5,2 млн ₸, а видимый вход только 213 тыс ₸: не хватает 5,0 млн ₸ — источник средств неизвестен (координатор)"
100000002126791100,исходящие переводы (узел за границей выгрузки),0.885,3,"получил 1,3 млн ₸ от 1 плательщ., макс. приоритет плательщика 0.65, seed выше по цепочке: 9; куда ушли деньги — неизвестно"
100000004400305100,входящие переводы из-за пределов выборки,0.95,10,"отдал 5,8 млн ₸, а видимый вход только 223 тыс ₸: не хватает 5,6 млн ₸ — источник средств неизвестен (координатор)"
100000002622822100,исходящие переводы (узел за границей выгрузки),0.884,3,"получил 750 тыс ₸ от 1 плательщ., макс. приоритет плательщика 0.69, seed выше по цепочке: 9; куда ушли деньги — неизвестно"
100000008489922100,входящие переводы из-за пределов выборки,0.942,3,"отдал 3,8 млн ₸, а видимый вход только 262 тыс ₸: не хватает 3,5 млн ₸ — источник средств неизвестен (распределитель)"
100000007034089100,исходящие переводы (узел за границей выгрузки),0.871,3,"получил 198 тыс ₸ от 2 плательщ., макс. приоритет плательщика 0.92, seed выше по цепочке: 8; куда ушли деньги — неизвестно"
100000008710791100,входящие переводы из-за пределов выборки,0.939,3,"отдал 5,5 млн ₸, а видимый вход только 182 тыс ₸: не хватает 5,3 млн ₸ — источник средств неизвестен (распределитель)"
100000005888829100,исходящие переводы (узел за границей выгрузки),0.869,3,"получил 197 тыс ₸ от 1 плательщ., макс. приоритет плательщика 0.92, seed выше по цепочке: 8; куда ушли деньги — неизвестно"
