gid,request,score,cluster_id,reason
100000008477350100,входящие переводы из-за пределов выборки,0.934,1,"отдал 3,4 млн ₸, а видимый вход только 610 тыс ₸: не хватает 2,8 млн ₸ — источник средств неизвестен (координатор)"
100000002884708100,исходящие переводы (узел за границей выгрузки),0.858,3,"получил 1,2 млн ₸ от 1 плательщ., макс. приоритет плательщика 0.63, seed выше по цепочке: 8; куда ушли деньги — неизвестно"
100000007594394100,входящие переводы из-за пределов выборки,0.91,18,"отдал 3,4 млн ₸, а видимый вход только 395 тыс ₸: не хватает 3,0 млн ₸ — источник средств неизвестен (консолидатор)"
100000007357489100,исходящие переводы (узел за границей выгрузки),0.856,3,"получил 164 тыс ₸ от 2 плательщ., макс. приоритет плательщика 0.92, seed выше по цепочке: 8; куда ушли деньги — неизвестно"
100000007442518100,входящие переводы из-за пределов выборки,0.896,11,"отдал 4,4 млн ₸, а видимый вход только 510 тыс ₸: не хватает 3,9 млн ₸ — источник средств неизвестен (консолидатор)"
100000000375150100,исходящие переводы (узел за границей выгрузки),0.844,30,"получил 300 тыс ₸ от 1 плательщ., макс. приоритет плательщика 0.66, seed выше по цепочке: 10; куда ушли деньги — неизвестно"
100000004156082100,входящие переводы из-за пределов выборки,0.888,2,"отдал 2,3 млн ₸, а видимый вход только 377 тыс ₸: не хватает 1,9 млн ₸ — источник средств неизвестен (координатор)"
100000001724740100,исходящие переводы (узел за границей выгрузки),0.842,3,"получил 185 тыс ₸ от 1 плательщ., макс. приоритет плательщика 0.78, seed выше по цепочке: 9; куда ушли деньги — неизвестно"
100000002578405100,входящие переводы из-за пределов выборки,0.877,7,"отдал 3,1 млн ₸, а видимый вход только 1,2 млн ₸: не хватает 1,9 млн ₸ — источник средств неизвестен (распределитель)"
100000003128638100,исходящие переводы (узел за границей выгрузки),0.838,3,"получил 300 тыс ₸ от 1 плательщ., макс. приоритет плательщика 0.71, seed выше по цепочке: 8; куда ушли деньги — неизвестно"
100000002224132100,входящие переводы из-за пределов выборки,0.876,12,"отдал 12,1 млн ₸, а видимый вход только 4,0 млн ₸: не хватает 8,2 млн ₸ — источник средств неизвестен (консолидатор)"
100000003230329100,исходящие переводы (узел за границей выгрузки),0.832,3,"получил 110 тыс ₸ от 1 плательщ., макс. приоритет плательщика 0.92, seed выше по цепочке: 8; куда ушли деньги — неизвестно"
100000008466579100,входящие переводы из-за пределов выборки,0.875,3,"отдал 1,9 млн ₸, а видимый вход только 37 тыс ₸: не хватает 1,9 млн ₸ — источник средств неизвестен (распределитель)"
100000006638021100,исходящие переводы (узел за границей выгрузки),0.83,3,"получил 388 тыс ₸ от 2 плательщ., макс. приоритет плательщика 0.58, seed выше по цепочке: 9; куда ушли деньги — неизвестно"
100000003880331100,входящие переводы из-за пределов выборки,0.874,17,"отдал 3,9 млн ₸, а видимый вход только 100 тыс ₸: не хватает 3,8 млн ₸ — источник средств неизвестен (распределитель)"
100000001299323100,исходящие переводы (узел за границей выгрузки),0.829,3,"получил 109 тыс ₸ от 1 плательщ., макс. приоритет плательщика 0.92, seed выше по цепочке: 8; куда ушли деньги — неизвестно"
100000008547844100,входящие переводы из-за пределов выборки,0.874,3,"отдал 2,0 млн ₸, а видимый вход только 178 тыс ₸: не хватает 1,9 млн ₸ — источник средств неизвестен (распределитель)"
100000008699083100,исходящие переводы (узел за границей выгрузки),0.826,3,"получил 238 тыс ₸ от 1 плательщ., макс. приоритет плательщика 0.73, seed выше по цепочке: 8; куда ушли деньги — неизвестно"
100000005933757100,входящие переводы из-за пределов выборки,0.87,14,"отдал 3,0 млн ₸, а видимый вход только 1,2 млн ₸: не хватает 1,8 млн ₸ — источник средств неизвестен (распределитель)"
100000003074515100,исходящие переводы (узел за границей выгрузки),0.826,3,"получил 105 тыс ₸ от 1 плательщ., макс. приоритет плательщика 0.92, seed выше по цепочке: 8; куда ушли деньги — неизвестно"
100000005242320100,входящие переводы из-за пределов выборки,0.864,11,"отдал 8,9 млн ₸, а видимый вход только 366 тыс ₸: не хватает 8,6 млн ₸ — источник средств неизвестен (распределитель)"
100000002529877100,исходящие переводы (узел за границей выгрузки),0.823,3,"получил 232 тыс ₸ от 1 плательщ., макс. приоритет плательщика 0.73, seed выше по цепочке: 8; куда ушли деньги — неизвестно"
100000003854444100,входящие переводы из-за пределов выборки,0.862,18,"отдал 2,3 млн ₸, а видимый вход только 210 тыс ₸: не хватает 2,1 млн ₸ — источник средств неизвестен (распределитель)"
100000003180820100,исходящие переводы (узел за границей выгрузки),0.822,3,"получил 101 тыс ₸ от 1 плательщ., макс. приоритет плательщика 0.92, seed выше по цепочке: 8; куда ушли деньги — неизвестно"
100000008742053100,входящие переводы из-за пределов выборки,0.86,3,"отдал 2,8 млн ₸, а видимый вход только 10 тыс ₸: не хватает 2,8 млн ₸ — источник средств неизвестен (распределитель)"
100000003072205100,исходящие переводы (узел за границей выгрузки),0.82,3,"получил 163 тыс ₸ от 2 плательщ., макс. приоритет плательщика 0.80, seed выше по цепочке: 8; куда ушли деньги — неизвестно"
